commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0aa2c7a3a48acf5090635f4e446d82345807e78c,2021-01-09 14:37:39+00:00,['vue'],"['@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'typescript', 'vite']",,,"{'added': ['vue'], 'removed': []}","{'added': ['@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'typescript', 'vite'], 'removed': []}"
004fdf000909d2c6739a4cdc8154248344b2a111,2021-01-09 15:19:17+00:00,['vue'],"['@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'typescript', 'vite']",['vue'],"['@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7ffb4a2095f57b9dea50c4a15659ed4cde63f2e5,2021-01-10 03:46:56+00:00,['vue'],"['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'typescript', 'vite']",['vue'],"['@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': ['@commitlint/config-conventional', 'husky', '@commitlint/cli'], 'removed': []}"
9d03d6c6af56ea378085b086a5842740e4c8f01b,2021-01-10 11:15:14+00:00,['vue'],"['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']",['vue'],"['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': ['sass'], 'removed': []}"
8483a5cd0b950a4ccad3a4ad7a258427b4eeb3e0,2021-01-10 15:19:32+00:00,"['@types/lodash-es', 'lodash-es', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']",['vue'],"['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","{'added': ['lodash-es', '@types/lodash-es'], 'removed': []}","{'added': [], 'removed': []}"
4d670175788fdcb565212c1e23377548a759d3b3,2021-01-23 15:08:27+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","['@types/lodash-es', 'lodash-es', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","{'added': ['vue-router'], 'removed': []}","{'added': [], 'removed': []}"
22a6ad90652d2f298b0b074c1bfab9c11e31f31b,2021-02-17 07:20:33+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5e8d146ebfd4e23e21aaa7785af96f28f790e5e7,2021-04-13 00:36:49+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'commander', 'husky', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'husky', 'sass', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': ['@vitejs/plugin-vue-jsx', 'shelljs', 'vite-plugin-md', 'commander'], 'removed': []}"
c0bdbb445cebd88e4738c1509dad02df449b8269,2021-06-13 08:06:59+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'husky', 'jest', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@commitlint/cli', '@commitlint/config-conventional', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'commander', 'husky', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': ['@vue/test-utils', '@vue/babel-plugin-jsx', 'babel-jest', '@babel/preset-env', '@types/jest', 'jest', '@babel/preset-typescript'], 'removed': []}"
8e6330eab110ac9532ac24a84420d487ffc6a151,2021-06-17 14:43:26+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'husky', 'jest', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': ['eslint', 'lint-staged', 'eslint-plugin-vue', '@typescript-eslint/parser', '@typescript-eslint/eslint-plugin'], 'removed': []}"
376896d749803a930ab45452309a171ad20c6d8c,2021-06-27 04:06:49+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
14899a54c8300e40b6a51db551f29e925c7f8a27,2021-07-12 14:26:15+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
80a04272d1029e4bf38f93442a57289681024937,2021-08-01 04:43:43+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@ls-lint/ls-lint', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'stylelint', 'stylelint-config-recommended-scss', 'stylelint-config-standard', 'stylelint-scss', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': ['stylelint-config-recommended-scss', '@ls-lint/ls-lint', 'stylelint-config-standard', 'stylelint-scss', 'stylelint'], 'removed': []}"
26634c526cf9b4194af25508404567fa96dbd1a0,2021-08-03 14:48:18+00:00,"['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@ls-lint/ls-lint', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'stylelint', 'stylelint-config-recommended-scss', 'stylelint-config-standard', 'stylelint-scss', 'typescript', 'vite', 'vite-plugin-md']","['@types/lodash-es', 'lodash-es', 'vue', 'vue-router']","['@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@ls-lint/ls-lint', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/babel-plugin-jsx', '@vue/compiler-sfc', '@vue/test-utils', '@vuedx/typecheck', '@vuedx/typescript-plugin-vue', 'babel-jest', 'commander', 'eslint', 'eslint-plugin-vue', 'husky', 'jest', 'lint-staged', 'sass', 'shelljs', 'stylelint', 'stylelint-config-recommended-scss', 'stylelint-config-standard', 'stylelint-scss', 'typescript', 'vite', 'vite-plugin-md']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
